Substance,Symbol,MW,Tc,Pc,Vc,Zc,w,Tboil
Acetylene,C2H2,26.038,308.3,6.14,0.113,0.271,0.184,189.2
Ammonia,NH3,17.031,405.6,11.28,0.0724,0.242,0.25,239.7
Argon,Ar,39.948,150.8,4.874,0.0749,0.291,-0.004,87.3
Benzene,C6H6,78.114,562.1,4.894,0.259,0.271,0.212,353.3
n-Butane,C4H10,58.124,425.2,3.8,0.255,0.274,0.193,272.7
Isobutane,C4H10,58.124,408.1,3.648,0.263,0.283,0.176,261.3
1-Butene,C4H8,56.108,419.6,4.023,0.24,0.277,0.187,266.9
Carbon dioxide,CO2,44.01,304.2,7.376,0.094,0.274,0.225,194.7
Carbon monoxide,CO,28.01,132.9,3.496,0.0931,0.295,0.049,81.7
Carbon tetrachloride,CCl4,153.823,556.4,4.56,0.276,0.272,0.194,349.7
n-Decane,C10H22,142.286,617.6,2.108,0.603,0.247,0.49,447.3
n-Dodecane,C12H26,170.34,658.3,1.824,0.713,0.24,0.562,489.5
Ethane,C2H6,30.07,305.4,4.884,0.148,0.285,0.098,184.5
Ethyl ether,C4H10O,74.123,466.7,3.638,0.28,0.262,0.281,307.7
Ethylene,C2H4,28.054,282.4,5.036,0.129,0.276,0.085,169.4
Helium,He,4.003,5.19,0.227,0.0573,0.301,-0.387,4.21
n-Heptane,C7H16,100.205,540.2,2.736,0.304,0.263,0.351,371.6
n-Hexane,C6H14,86.178,507.4,2.969,0.37,0.26,0.296,341.9
Hydrogen,H2,2.016,33.2,1.297,0.065,0.305,-0.22,20.4
Hydrogen fluoride,HF,20.006,461,6.488,0.069,0.12,0.372,292.7
Hydrogen sulfide,H2S,34.08,373.2,8.942,0.0985,0.284,0.1,212.8
Methane,CH4,16.043,190.6,4.6,0.099,0.288,0.008,111.7
Naphthalene,C10H8,128.174,748.4,4.05,0.41,0.267,0.302,491.1
Neon,Ne,20.183,44.4,2.756,0.0417,0.311,0,27
Nitric oxide,NO,30.006,180,6.485,0.058,0.25,0.607,121.4
Nitrogen,N2,28.013,126.2,3.394,0.0895,0.29,0.04,77.4
n-Octane,C8H18,114.232,568.8,2.482,0.492,0.259,0.394,398.8
Oxygen,O2,31.999,154.6,5.046,0.0732,0.288,0.021,90.2
n-Pentane,C5H12,72.151,469.6,3.374,0.304,0.262,0.251,309.2
Isopentane,C5H12,72.151,460.4,3.384,0.306,0.271,0.227,301
Propane,C3H8,44.097,369.8,4.246,0.203,0.281,0.152,231.1
Propylene,C3H6,42.081,365,4.62,0.181,0.275,0.148,225.4
Refrigerant R12,CCl2F2,120.914,385,4.124,0.217,0.28,0.176,243.4
Refrigerant HFC-134a,CH2FCF3,102.03,374.23,4.06,0.198,0.258,0.332,247.1
Sulfur dioxide,SO2,64.063,430.8,7.883,0.122,0.268,0.251,263
Toluene,C7H8,92.141,591.7,4.113,0.316,0.264,0.257,383.8
Water,H2O,18.015,647.3,22.048,0.056,0.229,0.344,373.2
Xenon,Xe,131.3,289.7,5.836,0.118,0.286,0.002,165
